theme,metric,value,year,source,url,note
alcohol_decline,gen_z_plan_drink_less_2025_pct,65.0,2025,NCSolutions/Circana,https://www.circana.com/post/sober-curious-nation-alcohol-survey,
alcohol_decline,gen_z_dry_lifestyle_all_year_2025_pct,39.0,2025,NCSolutions,https://www.bevindustry.com/articles/97226-new-ncsolutions-survey-shows-americans-plan-to-drink-less-in-2025,
alcohol_decline,us_adults_under_35_who_drink_pct,50.0,2025,Gallup,https://extension.psu.edu/alcoholic-beverage-trends-2025,
alcohol_decline,gen_z_drink_less_for_mental_health_pct,58.0,2025,Circana,https://www.circana.com/post/sober-curious-nation-alcohol-survey,
alcohol_decline,gen_z_tried_non_alcoholic_spirits_pct,42.0,2024,Circana,https://www.circana.com/post/sober-curious-nation-alcohol-survey,
ai_skepticism,gen_z_weekly_genai_use_pct,51.0,2026,Gallup/Walton/GSV,https://news.gallup.com/poll/708224/gen-adoption-steady-skepticism-climbs.aspx,
ai_skepticism,gen_z_anger_about_ai_pct,31.0,2026,Gallup/Walton/GSV,https://news.gallup.com/poll/708224/gen-adoption-steady-skepticism-climbs.aspx,
ai_skepticism,gen_z_anxiety_about_ai_pct,42.0,2026,Gallup/Walton/GSV,https://news.gallup.com/poll/708224/gen-adoption-steady-skepticism-climbs.aspx,
ai_skepticism,gen_z_ai_risks_outweigh_benefits_work_pct,48.0,2026,Walton/Gallup AI Paradox,https://nextgeninsights.waltonfamilyfoundation.org/wp-content/uploads/2026/04/The-AI-Paradox.pdf,
ai_skepticism,gen_z_excitement_about_ai_pct,22.0,2026,Gallup,https://news.gallup.com/poll/708224/gen-adoption-steady-skepticism-climbs.aspx,
ai_skepticism,gen_z_trust_human_only_work_over_ai_assisted_pct,67.0,2026,Walton/Gallup,https://nextgeninsights.waltonfamilyfoundation.org/wp-content/uploads/2026/04/The-AI-Paradox.pdf,
irl_connection,gen_z_weekend_loneliness_pct,51.0,2026,Harris Poll,https://theharrispoll.com/wp-content/uploads/2026/07/The-Gen-Z-Weekend-Report-July-2026.pdf,
irl_connection,gen_z_interested_irl_from_online_interests_pct,95.0,2025,Eventbrite,https://www.eventbrite.com/blog/wp-content/uploads/2025/01/Eventbrite-_-Fourth-Spaces-_-Jan.-2025.pdf,
irl_connection,gen_z_attended_concert_past_year_pct,74.0,2024,Spotify Culture Next,https://wwd.com/business-news/business-features/spotify-culture-next-gen-z-in-person-experiences-1236673797/,
wellness,gen_z_millennial_share_of_us_wellness_spend_pct,41.0,2025,McKinsey Future of Wellness,https://www.mckinsey.com/industries/consumer-packaged-goods/our-insights/future-of-wellness-trends,
wellness,gen_z_millennial_population_share_pct,36.0,2025,McKinsey,https://www.mckinsey.com/industries/consumer-packaged-goods/our-insights/future-of-wellness-trends,
wellness,gen_z_mindfulness_very_high_priority_pct,42.0,2025,McKinsey,https://www.mckinsey.com/industries/consumer-packaged-goods/our-insights/future-of-wellness-trends,
wellness,us_mental_health_market_2025_usd_b,33.44,2025,Industry estimates,https://www.gwi.com/blog/gen-z-spending-habits,
gen_alpha_spending,gen_z_spending_power_2030_usd_t,12.0,2030,NIQ/World Data Lab,https://nielseniq.com/global/en/landing-page/spend-z/,
gen_alpha_spending,gen_alpha_us_household_influence_usd_b,255.0,2026,Teneo,https://www.teneo.com/app/uploads/2026/01/Gen-Alpha-Consumer-Influence-Study.pdf,
gen_alpha_spending,gen_alpha_style_most_important_purchase_criteria_pct,50.0,2026,Teneo,https://www.teneo.com/app/uploads/2026/01/Gen-Alpha-Consumer-Influence-Study.pdf,
value_authenticity,gen_z_buy_secondhand_more_likely_vs_avg,8.0,2025,GWI,https://www.gwi.com/blog/gen-z-spending-habits,percentage points above average
value_authenticity,gen_z_plan_vintage_upcycled_holiday_pct,63.0,2025,PwC Holiday Outlook,https://www.pwc.com/us/en/industries/consumer-markets/library/gen-z-consumer-trends.html,
value_authenticity,gen_z_willing_private_label_pct,41.0,2025,PwC,https://www.pwc.com/us/en/industries/consumer-markets/library/gen-z-consumer-trends.html,
gaming,gen_z_purchased_in_game_item_more_likely_pct,36.0,2025,GWI,https://www.gwi.com/blog/gen-z-spending-habits,above average likelihood
gaming,gen_z_digital_game_purchase_more_likely_pct,33.0,2025,GWI,https://www.gwi.com/blog/gen-z-spending-habits,
alcohol_decline,young_adults_18_25_past_month_alcohol_pct,47.5,2024,SAMHSA NSDUH,https://www.samhsa.gov/data/sites/default/files/reports/rpt56978/2024-nsduh-data-brief-young-adult.pdf,Down from 50.9% in 2021
alcohol_decline,grade_12_past_year_alcohol_use_pct,41.7,2024,Monitoring the Future (NIH/NIDA),https://www.nih.gov/news-events/news-releases/reported-use-most-drugs-among-adolescents-remained-low-2024,Down from 75% in 1997
alcohol_decline,us_beer_volume_change_pct_2024,-2.9,2024,NIQ Beverage Alcohol Year in Review,https://nielseniq.com/global/en/insights/analysis/2025/2024-beverage-alcohol-year-in-review/,52 weeks ending 12/28/2024
brand_affinity,elf_num1_cosmetics_female_teens_pct,35.0,2024,Piper Sandler TSWT Fall 2024,https://www.pipersandler.com/sites/default/files/document/TSWT_Fall24_Infographic.pdf,Up 6pp YoY
brand_affinity,teens_prefer_energy_over_coffee_pct,39.0,2024,Piper Sandler TSWT Fall 2024,https://www.pipersandler.com/sites/default/files/document/TSWT_Fall24_Infographic.pdf,vs coffee 31% soda 30%; Monster #1 energy drink
company_ops,lyv_tickets_sold_through_july_2025,130000000.0,2025,Live Nation Q2 2025 8-K,https://www.prnewswire.com/news-releases/live-nation-entertainment-reports-second-quarter-2025-results-302524774.html,Up 6% YoY
company_ops,lyv_deferred_concert_revenue_q2_2025_usd_b,5.1,2025,Live Nation Q2 2025 8-K,https://content.equisolve.net/livenationentertainment/sec/0001335258-25-000127/for_pdf/lyv-2025q2xex991er.htm,Up 25% YoY
company_ops,rblx_age_checked_dau_under_13_pct,35.0,2026,Roblox shareholder letter,https://about.roblox.com/newsroom/2026/02/moving-beyond-self-reported-age,45% of DAUs age-checked as of Jan 2026
