ticker,company,thesis_id,thesis_name,conviction,evidence_tier,rationale,source_url,historical_cagr_2019_pct,in_original_28_basket
PLAY,Dave & Buster's,sober_social_lbe,The Bar Replacement Thesis,Medium-High,B,"243 NA venues; pivoting to D&B Unlocked ticketed sober nightlife, Store of Future competitive social suites; Harris 73% want alcohol-optional settings",https://theharrispoll.com/wp-content/uploads/2026/07/The-Gen-Z-Weekend-Report-July-2026.pdf,-17.14,False
MODG,Topgolf Callaway Brands,sober_social_lbe,The Bar Replacement Thesis,Medium,A,Pure-play competitive socializing venue (~$1.8B revenue); Q3 2025 consumer bay SSS +2.4%; pending Topgolf spin-off; ranked #1 fun/atmosphere,https://www.prnewswire.com/news-releases/topgolf-callaway-brands-announces-third-quarter-2025-results-302607773.html,,False
FUN,Six Flags Entertainment,sober_social_lbe,The Bar Replacement Thesis,Medium,B,Daytime/summer social destination; Gen Z 54% prefer daytime; Morning Consult -36% clubbing; affordable group outing vs bars,https://www.whitehutchinson.com/news/lenews/2025/september/article105.shtml,-11.31,False
TRUP,Trupanion,pet_connection_economy,The Pet Parent Proxy Thesis,High,A,1.09M enrolled pets Q4 2025; Chewy partnership; ~70% new pet insurance buyers under 40; Gen Z treats pets as family/pre-parenthood connection,https://www.nasdaq.com/press-release/trupanion-reports-fourth-quarter-full-year-2025-results-2026-02-12,0.73,False
CHWY,Chewy,pet_connection_economy,The Pet Parent Proxy Thesis,Medium-High,B,"Gen Z 71% vet visits few times/year; premium food, pet sports (30%), parties (24%); digital-native pet parent platform",https://www.rover.com/blog/pet-parenting-trends/,-5.09,False
IDXX,Idexx Laboratories,pet_connection_economy,The Pet Parent Proxy Thesis,Medium,B,Veterinary diagnostics tailwind from younger cohorts' proactive pet healthcare spending; APPA 94M US pet households,https://insurnest.com/blog/millennial-gen-z-pet-insurance-mga-revenue/,16.62,False
ELAN,Elanco Animal Health,pet_connection_economy,The Pet Parent Proxy Thesis,Medium,C,Pet pharma/wellness beneficiary of humanization trend; less direct Gen Z brand proof than TRUP/CHWY,,-4.67,False
MTCH,Match Group,swipe_fatigue_pivot,The Anti-Swipe Turnaround (Contrarian),Medium (high risk),A,CONTRARIAN: 79% Gen Z app burnout; 8 quarters paying user declines; Tinder expanding IRL events to 75 cities — pivot or value trap,https://techcrunch.com/2026/08/05/as-gen-z-reconsiders-dating-apps-tinders-irl-events-expand-to-dozens-more-cities/,-1.15,False
BMBL,Bumble,swipe_fatigue_pivot,The Anti-Swipe Turnaround (Contrarian),Low-Medium,B,Paying users -16% YoY Q3 2025; Gen Z uncomfortable with AI dating features; friendship/dating app pivot unproven,https://www.thestar.com.my/tech/tech-news/2025/07/15/ai-dating-appfeatures-arent-landing-with-gen-z-new-survey-finds,-34.49,False
AFRM,Affirm,swipe_fatigue_pivot,The Anti-Swipe Turnaround (Contrarian),Medium,B,BNPL for experiences — 31% Gen Z used BNPL for concert tickets; enables IRL social when cash-constrained (Harris 85% use cost workarounds),https://www.emarketer.com/content/2025-will-record-year-concertgoing,-3.2,False
WMG,Warner Music Group,analog_tactile_economy,The Analog Connection Thesis,Medium-High,A,Vinyl $1.04B US revenue 2025 (+9.3%); Gen Z driving format; 76% buy monthly; 84% shop in-store for community,https://www.billboard.com/pro/riaa-2025-music-report-revenue-streaming-vinyl/,-0.12,False
SONY,Sony Group,analog_tactile_economy,The Analog Connection Thesis,Medium,A,Music + gaming + imaging (cameras for analog-bag trend); RIAA physical revenue growth; diversified analog-digital paradox play,https://www.billboard.com/pro/riaa-2025-music-report-revenue-streaming-vinyl/,12.88,False
HAS,Hasbro,analog_tactile_economy,The Analog Connection Thesis,Medium-High,B,Board game renaissance; 82% Gen Z want IRL self-expression; Playing to Win strategy aging up to 750M fans; D&D/MTG social tabletop,https://newsroom.hasbro.com/node/35406/pdf,5.83,False
TPX,Tempur Sealy International,sleep_maxxing,The Sleep Over Nightlife Thesis,Medium,B,Gen Z 55.9% guilt after disruptive nights; 43% prefer fitness over nightlife; sleep as identity (#earlynight TikTok); mattress/sleep products,https://www.origym.co.uk/blog/why-gen-z-choose-wellness-over-nights-out/,,False
RMD,ResMed,sleep_maxxing,The Sleep Over Nightlife Thesis,Medium,B,Sleep health prioritization; wellness-over-nightlife shift; CPAP/sleep tech for health-conscious young adults (longer-term demographic),https://www.whitehutchinson.com/news/lenews/2025/september/article105.shtml,9.79,False
WING,Wingstop,home_social_hub,The Home Social Hub Thesis,Medium,B,"Harris 74% staying in, 48% hosting friends; delivery/wings as home-gathering fuel; Gen Z allocates spend to hosting vs bars",https://theharrispoll.com/wp-content/uploads/2026/07/The-Gen-Z-Weekend-Report-July-2026.pdf,10.34,False
DPZ,Domino's Pizza,home_social_hub,The Home Social Hub Thesis,Medium,B,Same home-gathering thesis; affordable group food for house hangouts vs $200 dates (Fortune solo-maxxing trend),https://fortune.com/2026/05/30/why-does-gen-z-not-like-to-date-solo-maxxing-dates-too-expensive-emotionally-draining/,6.23,False
NFLX,Netflix,home_social_hub,The Home Social Hub Thesis,Medium,C,71% Gen Z weekend = watching TV/streaming (Harris); shared watch culture at home; co-viewing as low-cost social,https://theharrispoll.com/wp-content/uploads/2026/07/The-Gen-Z-Weekend-Report-July-2026.pdf,14.36,False
PINS,Pinterest,analog_tactile_economy,The Analog Connection Thesis,Medium,B,Grandmacore/craft/DIY inspiration platform; Gen Z 54% spend on hobby/class/creative; bridges digital discovery to IRL making,https://theharrispoll.com/wp-content/uploads/2026/07/The-Gen-Z-Weekend-Report-July-2026.pdf,-0.39,False
